Genus,P_Value,P_Adjusted,Log2FC,Is_Significant
Unclassified,0.1333873359968168,0.16686096404164533,-0.3621790151578854,False
Planobispora,0.13400837621511122,0.16731975626099277,-0.7466277624572303,False
Corynebacterium,0.13655986156313651,0.17018255475102997,5.5785626699862,False
Sporichthya,0.13683230988282002,0.1701997351661542,2.096470058708319,False
Lacibacter,0.13954259539004965,0.1732434486163258,9.540324735789651,False
Pseudoflavitalea,0.14235362521483627,0.1764005374601926,7.40190163859118,False
Methylocella,0.1472380289265956,0.18211019367236825,5.2865494154675545,False
Bryobacter,0.15237539125697425,0.1881107081558894,-2.7468643477059795,False
Clostridium sensu stricto 12,0.15309975492671618,0.1886510088797364,0.520505558019254,False
Aliihoeflea,0.15363812085761522,0.18896052995198284,7.045743653226269,False
Pseudorhodoferax,0.15447286431408408,0.18963273268408082,8.796445549291915,False
Iamia,0.15599646528593783,0.19114650681219197,-0.32777709470602573,False
Planctomicrobium,0.16439108542748976,0.20105824202841685,6.374966668588981,False
Clostridium sensu stricto 13,0.16697387178064074,0.20383823308286012,-2.4755191204049822,False
Duganella,0.1723606948967607,0.21002469859642323,7.135784894341252,False
[Rhizobium] sphaerophysae group,0.17946198648061448,0.21827354363076587,2.3054508224018644,False
IMCC26134,0.18265731270087293,0.22175002169220367,7.53895535627729,False
Rubrivivax,0.18545470958637075,0.224731489701348,5.789617196510425,False
Sporacetigenium,0.1906055454501721,0.23012559432332705,-5.73094626842281,False
Arsenicitalea,0.1904402230114738,0.23012559432332705,8.331648541252603,False
Puia,0.19561827093313483,0.23574509573993171,5.9342183868968545,False
Truepera,0.200796373281865,0.2415429865072526,3.6225997951671185,False
Subtercola,0.20156589785798995,0.24202620582218504,5.884435515847594,False
Tepidibacillus,0.20390189908500497,0.24438515409459613,7.1442353645904975,False
Alkalibacillus,0.20507134860882795,0.24533990433565234,5.676348974134124,False
Chloronema,0.20641303227099433,0.24649686975374643,-2.3709626550202207,False
Actinoplanes,0.22050275999082708,0.26284568129341346,-1.658007752412247,False
Nitrococcus,0.22383307463082058,0.2663330255100903,5.554123368736331,False
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.23033971488933971,0.27358038338842156,-3.215141637968925,False
Cerasibacillus,0.2384426183238486,0.2826941312740403,6.967038114520288,False
Crossiella,0.2394810644832694,0.2834146410611354,-0.3985204256859109,False
Couchioplanes,0.24685279730426243,0.2916142560614088,-1.4643699593103794,False
Exiguobacterium,0.2491074399724541,0.29375035036178276,7.794011426024411,False
Micromonospora,0.25790171213588764,0.30357661285405024,-0.0034181951887834305,False
Isoptericola,0.2638702188696635,0.3100475071718546,-1.3722396895207645,False
Citricoccus,0.26538298105354524,0.3112691649433739,5.697543006139153,False
Actinophytocola,0.27339106615425185,0.32009131944750485,0.35880784638276975,False
Saccharomonospora,0.2775249425951834,0.3243541957862001,5.552745276675854,False
Geminicoccus,0.27832955411734533,0.3247178131369029,1.321484366993201,False
Tolypothrix,0.27895782863556845,0.32487478095965316,4.16197256017384,False
Methylophilus,0.2820431097647675,0.3278795644483116,5.7740671387612945,False
Longimicrobium,0.2825345183012047,0.3278795644483116,3.2202750735608014,False
Altererythrobacter,0.2840909806374523,0.3291053965835275,-1.7645899411475656,False
Patulibacter,0.2859196096238817,0.3306416575263869,6.82365896395156,False
Spirillospora,0.2939511429926789,0.3393330738406714,1.4422099548550023,False
Rhodoferax,0.29842339001100515,0.34389245293737547,6.475558782095678,False
[Polyangium] brachysporum group,0.3015149806269599,0.34684765253940497,5.854930892907937,False
UTBCD1,0.3156282752644039,0.36244922360205545,7.091698482384557,False
Reyranella,0.32194748186397104,0.3689249230338799,-2.1131502663493174,False
Geodermatophilus,0.32294947669835083,0.3689249230338799,-2.0286916995837236,False
Stenotrophomonas,0.3226810882626259,0.3689249230338799,10.688914869020058,False
Herminiimonas,0.326990897246468,0.3728942987663361,6.7299194801313025,False
Microvirga,0.3280903328765499,0.37350075957226614,-0.41444021024770306,False
Herpetosiphon,0.33038756732010655,0.37546635457103644,-0.9514739134121912,False
Azotobacter,0.3344883771409472,0.3794712968254194,9.380615166009521,False
Pseudorhodoplanes,0.34469522932246094,0.3903777295941124,0.9412300861893804,False
